timestamp,millis,sensor,nano,altitude,climb,pressure,altitude_raw,latitude,longitude,altitude_gps,vN,vE,groundSpeed,speed,bearing,glide,glideAngle,hAcc,vAcc,sAcc,pdop,hdop,vdop,gpsFix,numSat,groundDistance,flightMode,jumpNumber,gX,gY,gZ,rotX,rotY,rotZ,acc
20120427-120709.986,1335553629986,Alti,318471305053000,1591.3061960109594,-32.930250364016885,790.4099731445313,1649.356790923015,,,,,,,,,,,,,,,,,,,,Freefall,2,-7.443720817565918,5.313051223754883,3.549119472503662,-0.21063560247421265,0.5241495966911316,0.6952561140060425,12.035871505737305
20120427-120710.175,1335553630175,Alti,318471500793000,1589.861237357298,-32.036001705591396,789.3999633789063,1659.6425303212018,,,,,,,,,,,,,,,,,,,,Freefall,2,-3.791166305541992,3.1190638542175293,8.493038177490234,-0.06487154960632324,0.2508143186569214,0.7808792591094971,4.904827117919922
20120427-120710.502,1335553630502,Alti,318471703460000,1590.9671441527073,-30.677337640823584,785.75,1696.9020983541268,,,,,,,,,,,,,,,,,,,,Freefall,2,4.632416725158691,-3.383563756942749,7.957901477813721,-0.06204735487699509,-0.30091291666030884,0.3945258557796478,10.151241302490234
20120427-120710.553,1335553630553,Alti,318471906951000,1592.2197048202727,-29.3372846825858,785.7799682617188,1696.5956061633788,,,,,,,,,,,,,,,,,,,,Freefall,2,6.725813388824463,-6.165977954864502,3.6030075550079346,-0.3281089663505554,-0.4568418860435486,0.09827762842178345,14.621678352355957
20120427-120710.986,1335553630986,GPS,,1592.2197048202727,-29.3372846825858,,,33.61621396666666,-117.30906566666667,1543.0,5.43337392163463,45.565642553996376,,,,,,145.0,,,31.0,4.400000095367432,,1,3,,Freefall,2,6.718778133392334,-6.241869926452637,3.482957124710083,-0.3512831926345825,-0.44617611169815063,0.0671265721321106,10.599298477172852
20120427-120710.844,1335553630844,Alti,318472110473000,1593.9098922297283,-27.96767794821076,785.3999633789063,1700.4827031863938,,,,,,,,,,,,,,,,,,,,Freefall,2,5.614823818206787,-6.433621406555176,4.828808307647705,-0.3661622405052185,-0.34613120555877686,0.03430896997451782,14.376681327819824
20120427-120710.925,1335553630925,Alti,318472305144000,1594.5061563909296,-26.88756578882409,787.5299682617188,1678.7143527099224,,,,,,,,,,,,,,,,,,,,Freefall,2,2.643502712249756,-5.669011116027832,7.55718469619751,-0.29990845918655396,-0.15772515535354614,0.044963181018829346,13.711529731750488
20120427-120711.192,1335553631192,Alti,318472500365000,1593.3005487372452,-26.16450700865526,790.3699951171875,1649.7637168854646,,,,,,,,,,,,,,,,,,,,Freefall,2,2.0992345809936523,-5.648803234100342,7.740703105926514,-0.3000431954860687,-0.12424713373184204,0.03477272391319275,11.415969848632813
20120427-120711.412,1335553631412,Alti,318472703460000,1591.0714594177693,-25.61292325804765,791.9099731445313,1634.100710396066,,,,,,,,,,,,,,,,,,,,Flight,2,3.0588889122009277,-5.27308464050293,7.685916900634766,-0.2803322970867157,-0.1722577065229416,0.023906618356704712,8.064549446105957
20120427-120711.671,1335553631671,Alti,318472906707000,1587.9940912457976,-25.232383016109324,793.5299682617188,1617.6504525065109,,,,,,,,,,,,,,,,,,,,Flight,2,4.560566425323486,-4.969066619873047,7.123536586761475,-0.2683233320713043,-0.25480520725250244,0.01577657461166382,8.282261848449707
20120427-120711.723,1335553631723,Alti,318473103087000,1585.3740094080047,-24.814851499357687,793.5,1617.9545185635297,,,,,,,,,,,,,,,,,,,,Flight,2,6.136788368225098,-4.843029022216797,5.926326274871826,-0.26809361577033997,-0.3550604283809662,0.01912391185760498,9.493061065673828
20120427-120711.996,1335553631996,Alti,318473304992000,1582.9675062548215,-24.349299790856822,793.3699951171875,1619.2736908048032,,,,,,,,,,,,,,,,,,,,Flight,2,6.0355987548828125,-4.488715648651123,6.297554016113281,-0.23549491167068481,-0.3515163064002991,0.044546663761138916,9.882911682128906
20120427-120712.191,1335553632191,Alti,318473500365000,1580.8861184557336,-23.870809301950878,793.469970703125,1618.259213227045,,,,,,,,,,,,,,,,,,,,Flight,2,4.950056076049805,-4.1361985206604,7.390730857849121,-0.19834131002426147,-0.28976112604141235,0.08957064151763916,11.1458158493042
